Gene	"Gene synonym"	"Gene description"
GABRA1	EJM5	"Gamma-aminobutyric acid type A receptor subunit alpha1"
CCKBR		"Cholecystokinin B receptor"
DGKK		"Diacylglycerol kinase kappa"
FERD3L	"bHLHa31, N-TWIST, NATO3"	"Fer3 like bHLH transcription factor"
HRH3	GPCR97	"Histamine receptor H3"
CACNA1E	"BII, CACH6, CACNL1A6, Cav2.3"	"Calcium voltage-gated channel subunit alpha1 E"
ELOA3CP	ELOA3C	"Elongin A3 family member C, pseudogene"
FEZF1	ZNF312B	"FEZ family zinc finger 1"
KCNK4	"K2p4.1, TRAAK"	"Potassium two pore domain channel subfamily K member 4"
MOG	"BTN6, BTNL11"	"Myelin oligodendrocyte glycoprotein"
OR6V1	GPR138	"Olfactory receptor family 6 subfamily V member 1"
KIF5A	"D12S1889, MY050, NKHC, SPG10"	"Kinesin family member 5A"
RIMBP3	"KIAA1666, RIMBP3.1, RIMBP3A"	"RIMS binding protein 3"
TLX3	"HOX11L2, RNX"	"T cell leukemia homeobox 3"
AL022312.1		"Novel protein"
FAM236C		"Family with sequence similarity 236 member C"
GAP43	"B-50, GAP-43, PP46"	"Growth associated protein 43"
CHST8	GALNAC-4-ST1	"Carbohydrate sulfotransferase 8"
ANKRD34B	DP58	"Ankyrin repeat domain 34B"
IGLJ4		"Immunoglobulin lambda joining 4 (non-functional)"
KCNF1	"IK8, KCNF, kH1, Kv5.1"	"Potassium voltage-gated channel modifier subfamily F member 1"
PYDC2	POP2	"Pyrin domain containing 2"
SV2B	"HsT19680, KIAA0735"	"Synaptic vesicle glycoprotein 2B"
ABCA2	ABC2	"ATP binding cassette subfamily A member 2"
FGF23		"Fibroblast growth factor 23"
GAL	"GAL-GMAP, GALN, GLNN, GMAP"	"Galanin and GMAP prepropeptide"
GPR26		"G protein-coupled receptor 26"
RTP5	"C2orf85, CXXC11, FLJ33590, Z3CXXC5"	"Receptor transporter protein 5 (putative)"
SLC6A5	"GLYT2, NET1"	"Solute carrier family 6 member 5"
ARHGAP36	FLJ30058	"Rho GTPase activating protein 36"
C4orf50	FLJ46481	"Chromosome 4 open reading frame 50"
CACNG5		"Calcium voltage-gated channel auxiliary subunit gamma 5"
NEUROD6	"Atoh2, bHLHa2, Math-2, Nex1, NEX1M"	"Neuronal differentiation 6"
NRSN1	"p24, VMP"	"Neurensin 1"
CRH	"CRF, CRH1"	"Corticotropin releasing hormone"
EN2		"Engrailed homeobox 2"
KLHL1	"FLJ30047, KIAA1490, MRP2"	"Kelch like family member 1"
MPPED1	"239AB, C22orf1, FAM1A"	"Metallophosphoesterase domain containing 1"
NEUROG3	"Atoh5, bHLHa7, Math4B, ngn3"	"Neurogenin 3"
NRGN	RC3	Neurogranin
PAX7	Hup1	"Paired box 7"
POU3F3	"BRN1, OTF8"	"POU class 3 homeobox 3"
PRLH	PRH	"Prolactin releasing hormone"
SLC18A3	VACHT	"Solute carrier family 18 member A3"
GRIK2	"GluK2, GLUR6, MRT6"	"Glutamate ionotropic receptor kainate type subunit 2"
H4C8	"H4/h, H4FH, HIST1H4H"	"H4 clustered histone 8"
PCDH8	"ARCADLIN, PAPC"	"Protocadherin 8"
PRKCG	"MGC57564, PKCÃŽÂ³, PKCC, PKCG, SCA14"	"Protein kinase C gamma"
SNAP25	"bA416N4.2, dJ1068F16.2, RIC-4, RIC4, SEC9, SNAP, SNAP-25"	"Synaptosome associated protein 25"
SPHKAP	SKIP	"SPHK1 interactor, AKAP domain containing"
ANO3	"C11orf25, DYT23, GENX-3947, TMEM16C"	"Anoctamin 3"
DRGX	"DRG11, PRRXL1"	"Dorsal root ganglia homeobox"
SCRT1	"DKFZp547F072, ZNF898"	"Scratch family transcriptional repressor 1"
CSPG5	NGC	"Chondroitin sulfate proteoglycan 5"
ELAVL3	"DKFZp547J036, HUC, HUCL, MGC20653, PLE21"	"ELAV like RNA binding protein 3"
HTR6	"5-HT6, 5-HT6R"	"5-hydroxytryptamine receptor 6"
NPTXR		"Neuronal pentraxin receptor"
NTSR1	NTR	"Neurotensin receptor 1"
PRR35	C16orf11	"Proline rich 35"
SMIM43		"Small integral membrane protein 43"
SNCB		"Synuclein beta"
SOX1		"SRY-box transcription factor 1"
TFAP2D	TFAP2BL1	"Transcription factor AP-2 delta"
USP17L22		"Ubiquitin specific peptidase 17 like family member 22"
CCDC7	"BIOT2, C10orf68, FLJ13031, FLJ32762"	"Coiled-coil domain containing 7"
ERMN	"ERMIN, JN, KIAA1189"	Ermin
KIAA1549L	"C11orf41, C11orf69, G2, MGC34830"	"KIAA1549 like"
OR2L8		"Olfactory receptor family 2 subfamily L member 8"
PACSIN1	SDPI	"Protein kinase C and casein kinase substrate in neurons 1"
PCDH9		"Protocadherin 9"
PNMA5	KIAA1934	"PNMA family member 5"
PRSS51		"Serine protease 51"
USP17L20		"Ubiquitin specific peptidase 17 like family member 20"
AC092442.1		"Novel protein"
CNTNAP4	"CASPR4, KIAA1763"	"Contactin associated protein family member 4"
ENHO	"C9orf165, UNQ470"	"Energy homeostasis associated"
FEV	Pet-1	"FEV transcription factor, ETS family member"
GHRH	GHRF	"Growth hormone releasing hormone"
GLRA1	STHE	"Glycine receptor alpha 1"
GSC2	GSCL	"Goosecoid homeobox 2"
HAPLN2	BRAL1	"Hyaluronan and proteoglycan link protein 2"
HCN4		"Hyperpolarization activated cyclic nucleotide gated potassium channel 4"
IFNA2	"IFN-alphaA, IFNA"	"Interferon alpha 2"
RIMS3	"NIM3, RIM3"	"Regulating synaptic membrane exocytosis 3"
SRRM4	"KIAA1853, nSR100"	"Serine/arginine repetitive matrix 4"
ZIC1	"ZIC, ZNF201"	"Zic family member 1"
HIPK4	FLJ32818	"Homeodomain interacting protein kinase 4"
KCNJ4	"HIR, hIRK2, HRK1, IRK3, Kir2.3"	"Potassium inwardly rectifying channel subfamily J member 4"
KCNK12	"K2p12.1, THIK-2, THIK2"	"Potassium two pore domain channel subfamily K member 12"
MAS1		"MAS1 proto-oncogene, G protein-coupled receptor"
NKAIN4	"bA261N11.2, C20orf58, FAM77A"	"Sodium/potassium transporting ATPase interacting 4"
NXPH1		"Neurexophilin 1"
POU3F2	"BRN2, OCT7, OTF7, POUF3"	"POU class 3 homeobox 2"
PRYP3		"PTPN13 like Y-linked pseudogene 3"
PTH2	TIP39	"Parathyroid hormone 2"
STUM	"C1orf95, DKFZp761P211"	"Stum, mechanosensory transduction mediator homolog"
VAX1		"Ventral anterior homeobox 1"
CACNA1A	"APCA, CACNL1A4, Cav2.1, EA2, FHM, HPCA, MHP, MHP1, SCA6"	"Calcium voltage-gated channel subunit alpha1 A"
CACNG3		"Calcium voltage-gated channel auxiliary subunit gamma 3"
CADM2	"IGSF4D, Necl-3, NECL3, SynCAM2"	"Cell adhesion molecule 2"
CHRNA2		"Cholinergic receptor nicotinic alpha 2 subunit"
DLX1		"Distal-less homeobox 1"
EGR4	"NGFI-C, PAT133"	"Early growth response 4"
GABRD		"Gamma-aminobutyric acid type A receptor subunit delta"
GNG7	FLJ00058	"G protein subunit gamma 7"
GRM3	"GPRC1C, mGlu3, MGLUR3"	"Glutamate metabotropic receptor 3"
HOXC12	"HOC3F, HOX3, HOX3F"	"Homeobox C12"
HPCA	DYT2	Hippocalcin
MAP1A	MAP1L	"Microtubule associated protein 1A"
MDGA2	MAMDC1	"MAM domain containing glycosylphosphatidylinositol anchor 2"
MTURN	"C7orf41, Ells1, FLJ25903"	"Maturin, neural progenitor differentiation regulator homolog"
OPCML	"IGLON1, OBCAM, OPCM"	"Opioid binding protein/cell adhesion molecule like"
SLC6A11	GAT3	"Solute carrier family 6 member 11"
SYNPR	"MGC26651, SPO"	Synaptoporin
SYT2		"Synaptotagmin 2"
TAS2R40	GPR60	"Taste 2 receptor member 40"
TMEM144	FLJ11155	"Transmembrane protein 144"
TMEM151B	"bA444E17.5, C6orf137, TMEM193"	"Transmembrane protein 151B"
VSNL1	"HLP3, HPCAL3, HUVISL1, VILIP, VILIP-1"	"Visinin like 1"
XKR7	"C20orf159, dJ310O13.4"	"XK related 7"
AC068870.4		"Novel protein"
BHLHA9	BHLHF42	"Basic helix-loop-helix family member a9"
BTBD17	"BTBD17A, LGALS3BPL, TANGO10A"	"BTB domain containing 17"
C22orf42		"Chromosome 22 open reading frame 42"
CEP295NL	"DDC8, KIAA1731NL"	"CEP295 N-terminal like"
CPNE9	KIAA4217	"Copine family member 9"
DRD1		"Dopamine receptor D1"
FSTL5	"DKFZp566D234, KIAA1263"	"Follistatin like 5"
GPM6A	GPM6	"Glycoprotein M6A"
H3C2	"H3/l, H3FL, HIST1H3B"	"H3 clustered histone 2"
HCN1	"BCNG-1, BCNG1, HAC-2"	"Hyperpolarization activated cyclic nucleotide gated potassium channel 1"
KCNA1	"AEMK, HUK1, Kv1.1, MBK1, RBK1"	"Potassium voltage-gated channel subfamily A member 1"
KCNJ6	"BIR1, GIRK2, hiGIRK2, KATP2, KCNJ7, Kir3.2"	"Potassium inwardly rectifying channel subfamily J member 6"
MTRNR2L11		"MT-RNR2 like 11"
NRXN1	"Hs.22998, KIAA0578"	"Neurexin 1"
OTOF	"DFNB6, DFNB9, FER1L2"	Otoferlin
PLPP4	"DPPL2, PPAPDC1, PPAPDC1A"	"Phospholipid phosphatase 4"
PRDM12	PFM9	"PR/SET domain 12"
PRR18	MGC35308	"Proline rich 18"
PTPN5	"PTPSTEP, STEP, STEP61"	"Protein tyrosine phosphatase non-receptor type 5"
RESP18		"Regulated endocrine specific protein 18"
SHANK1	"SPANK-1, SSTRIP, synamon"	"SH3 and multiple ankyrin repeat domains 1"
SHISA8	"C22orf17, Orf26"	"Shisa family member 8"
SMIM32		"Small integral membrane protein 32"
STX1B	"STX1B1, STX1B2"	"Syntaxin 1B"
SV2C		"Synaptic vesicle glycoprotein 2C"
AC138647.1		"Novel protein"
C11orf87	"LOC399947, LOH11CR1A, NEURIM1"	"Chromosome 11 open reading frame 87"
C19orf81		"Chromosome 19 open reading frame 81"
CASKIN1	"ANKS5A, KIAA1306"	"CASK interacting protein 1"
CHRM5		"Cholinergic receptor muscarinic 5"
DBX2	FLJ16139	"Developing brain homeobox 2"
DDN	KIAA0749	Dendrin
FAM107A	"DRR1, TU3A"	"Family with sequence similarity 107 member A"
GABRA5		"Gamma-aminobutyric acid type A receptor subunit alpha5"
GAD1	GAD	"Glutamate decarboxylase 1"
GRIA4	"GluA4, GLUR4, GLURD"	"Glutamate ionotropic receptor AMPA type subunit 4"
LRTM2		"Leucine rich repeats and transmembrane domains 2"
MCHR2	"GPR145, MCH2, MCH2R, SLT"	"Melanin concentrating hormone receptor 2"
MDGA1	"GPIM, MAMDC3"	"MAM domain containing glycosylphosphatidylinositol anchor 1"
NPY	PYY4	"Neuropeptide Y"
PBOV1	"UC28, UROC28"	"Prostate and breast cancer overexpressed 1"
SLC5A7	"CHT1, hCHT"	"Solute carrier family 5 member 7"
SNX32	"FLJ30934, SNX6B"	"Sorting nexin 32"
SYN2	"SYNII, SYNIIa, SYNIIb"	"Synapsin II"
SYT1	"P65, SVP65, SYT"	"Synaptotagmin 1"
TMEM151A	"MGC33486, TMEM151"	"Transmembrane protein 151A"
UNCX	Uncx4.1	"UNC homeobox"
UTS2	"PRO1068, U-II, UCN2, UII"	"Urotensin 2"
VGF	"SCG7, SgVII"	"VGF nerve growth factor inducible"
ZIC4		"Zic family member 4"
AC026316.4		"Novel protein"
ADARB2	"ADAR3, hRED2, RED2"	"Adenosine deaminase RNA specific B2 (inactive)"
ATP1B2	AMOG	"ATPase Na+/K+ transporting subunit beta 2"
CALY	"CALCYON, DRD1IP, NSG3"	"Calcyon neuron specific vesicular protein"
CAMKV	"MGC8407, VACAMKL"	"CaM kinase like vesicle associated"
DISP2	"C15orf36, DISPB, HsT16908, KIAA1742, LINC00594"	"Dispatched RND transporter family member 2"
DISP3	"KIAA1337, PTCHD2"	"Dispatched RND transporter family member 3"
GABBR2	"GABABR2, GPR51, GPRC3B, HG20"	"Gamma-aminobutyric acid type B receptor subunit 2"
GABRB2		"Gamma-aminobutyric acid type A receptor subunit beta2"
GRIK1	"GluK1, GLUR5"	"Glutamate ionotropic receptor kainate type subunit 1"
H1-6	"H1FT, H1t, HIST1H1T"	"H1.6 linker histone, cluster member"
HCN2	"BCNG-2, BCNG2, HAC-1"	"Hyperpolarization activated cyclic nucleotide gated potassium and sodium channel 2"
KCND2	"KIAA1044, Kv4.2, RK5"	"Potassium voltage-gated channel subfamily D member 2"
KNCN	"FLJ32011, KINO, L5"	Kinocilin
NCDN	"NCDN-1, NCDN-2"	Neurochondrin
NOS1	"nNOS, NOS"	"Nitric oxide synthase 1"
OR1E2	"OR17-135, OR17-93, OR1E4"	"Olfactory receptor family 1 subfamily E member 2"
PCDH19	"EFMR, EIEE9, KIAA1313"	"Protocadherin 19"
PDE10A		"Phosphodiesterase 10A"
PLD5	FLJ40773	"Phospholipase D family member 5"
PWWP4		"PWWP domain containing 4"
RBFOX1	"A2BP1, FOX-1, HRNBP1"	"RNA binding fox-1 homolog 1"
RUNX1T1	"AML1T1, CBFA2T1, CDR, ETO, MTG8, ZMYND2"	"RUNX1 partner transcriptional co-repressor 1"
SIX3	HPE2	"SIX homeobox 3"
SOWAHA	ANKRD43	"Sosondowah ankyrin repeat domain family member A"
TRIM67	TNL	"Tripartite motif containing 67"
VAT1L	KIAA1576	"Vesicle amine transport 1 like"
ADAMTS19		"ADAM metallopeptidase with thrombospondin type 1 motif 19"
ADGRA1	"GPR123, KIAA1828"	"Adhesion G protein-coupled receptor A1"
APC2	APCL	"APC regulator of WNT signaling pathway 2"
BARHL2		"BarH like homeobox 2"
C10orf90	"bA422P15.2, FATS, FLJ32938"	"Chromosome 10 open reading frame 90"
CHAT		"Choline O-acetyltransferase"
CPLX1	CPX-I	"Complexin 1"
DGKB	"DAGK2, DGK, DGK-BETA, KIAA0718"	"Diacylglycerol kinase beta"
FAM246A		"Family with sequence similarity 246 member A"
GPR139	PGR3	"G protein-coupled receptor 139"
GRIN2A	"GluN2A, NMDAR2A"	"Glutamate ionotropic receptor NMDA type subunit 2A"
GRM2	"GPRC1B, mGlu2, MGLUR2"	"Glutamate metabotropic receptor 2"
H3C15	"H3/n, H3/o, HIST2H3A"	"H3 clustered histone 15"
HCRTR2	OX2R	"Hypocretin receptor 2"
HIPK2		"Homeodomain interacting protein kinase 2"
HMX2	NKX5-2	"H6 family homeobox 2"
HS3ST4	3OST4	"Heparan sulfate-glucosamine 3-sulfotransferase 4"
IGSF1	"IGCD1, IGDC1, INHBP, KIAA0364, MGC75490, PGSF2"	"Immunoglobulin superfamily member 1"
KCNH4	"elk1, Kv12.3"	"Potassium voltage-gated channel subfamily H member 4"
KLHL32	"BKLHD5, KIAA1900"	"Kelch like family member 32"
MAP1B	"MAP5, PPP1R102"	"Microtubule associated protein 1B"
MAP2	"MAP2A, MAP2B, MAP2C"	"Microtubule associated protein 2"
MGAT5B	"FLJ25132, GnT-IX, GnT-VB"	"Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase B"
NEFH	"NF-H, NFH"	"Neurofilament heavy"
NKX2-4	"NKX2.4, NKX2D"	"NK2 homeobox 4"
OXTR		"Oxytocin receptor"
PLLP	"PMLP, TM4SF11"	Plasmolipin
SHTN1	"KIAA1598, shootin-1, shootin1"	"Shootin 1"
SLC1A3	"EA6, EAAT1, GLAST"	"Solute carrier family 1 member 3"
SLC8A3	NCX3	"Solute carrier family 8 member A3"
SST	SMST	Somatostatin
ST18	"KIAA0535, NZF-3, NZF3, ZC2H2C3, ZC2HC10, ZNF387"	"ST18 C2H2C-type zinc finger transcription factor"
SYNGR3		"Synaptogyrin 3"
TRH		"Thyrotropin releasing hormone"
UNC13A	"KIAA1032, Munc13-1"	"Unc-13 homolog A"
AGAP2	CENTG1	"ArfGAP with GTPase domain, ankyrin repeat and PH domain 2"
ARMC3	"CT81, FLJ32827"	"Armadillo repeat containing 3"
BAIAP3	"BAP3, KIAA0734"	"BAI1 associated protein 3"
C1QL2	"C1QTNF10, CTRP10"	"Complement C1q like 2"
CALCB	"CALC2, CGRP-II, FLJ30166"	"Calcitonin related polypeptide beta"
CCDC177	"C14orf162, PLPL"	"Coiled-coil domain containing 177"
CCK		Cholecystokinin
CDK5R2	"NCK5AI, P39, p39nck5ai"	"Cyclin dependent kinase 5 regulatory subunit 2"
CEND1	"BM88, FLJ90066"	"Cell cycle exit and neuronal differentiation 1"
CENPVL1	"CENPVP1, PRR6L1"	"Centromere protein V like 1"
CHRM1		"Cholinergic receptor muscarinic 1"
DAO	"DAAO, DAMOX"	"D-amino acid oxidase"
DPF1	"BAF45b, NEUD4, neuro-d4"	"Double PHD fingers 1"
EPHA5	"CEK7, EHK1, Hek7, TYRO4"	"EPH receptor A5"
FBXL16	"C16orf22, Fbl16, MGC33974"	"F-box and leucine rich repeat protein 16"
GABRA4		"Gamma-aminobutyric acid type A receptor subunit alpha4"
GABRQ		"Gamma-aminobutyric acid type A receptor subunit theta"
GJC2	"CX46.6, CX47, GJA12, SPG44"	"Gap junction protein gamma 2"
GPR83	GPR72	"G protein-coupled receptor 83"
GPR88		"G protein-coupled receptor 88"
H3C14	"H3, H3.2, H3/m, H3F2, H3FM, HIST2H3C, MGC9629"	"H3 clustered histone 14"
H4C2	"H4/I, H4FI, HIST1H4B"	"H4 clustered histone 2"
H4C5	"H4/j, H4FJ, HIST1H4E"	"H4 clustered histone 5"
HEPACAM	"FLJ25530, GLIALCAM"	"Hepatic and glial cell adhesion molecule"
KCNG4	Kv6.4	"Potassium voltage-gated channel modifier subfamily G member 4"
KCNQ3	"EBN2, Kv7.3"	"Potassium voltage-gated channel subfamily Q member 3"
LINC00634		"Long intergenic non-protein coding RNA 634"
LRRC7	"densin-180, KIAA1365"	"Leucine rich repeat containing 7"
NAA11	"ARD1B, ARD2, hARD2"	"N-alpha-acetyltransferase 11, NatA catalytic subunit"
NETO1	"BCTL1, BTCL1"	"Neuropilin and tolloid like 1"
NEUROD1	"BETA2, BHF-1, bHLHa3, MODY6, NEUROD"	"Neuronal differentiation 1"
NKAIN3	"FAM77D, FLJ39630, NKAIN3-IT1"	"Sodium/potassium transporting ATPase interacting 3"
NPAS4	"bHLHe79, Le-PAS, NXF, PASD10"	"Neuronal PAS domain protein 4"
NYAP2	KIAA1486	"Neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adaptor 2"
OPRK1	"KOR, OPRK"	"Opioid receptor kappa 1"
PCDH11X	"PCDH-X, PCDH11, PCDHX, PPP1R119"	"Protocadherin 11 X-linked"
PIEZO2	"C18orf30, C18orf58, FAM38B, FAM38B2, FLJ23144, FLJ23403, FLJ34907, HsT748, HsT771"	"Piezo type mechanosensitive ion channel component 2"
PYDC1	"ASC2, POP1"	"Pyrin domain containing 1"
RGS8	"MGC119067, MGC119068, MGC119069"	"Regulator of G protein signaling 8"
SHISAL2B	FAM159B	"Shisa like 2B"
SLIT1	"MEGF4, SLIL1, Slit-1, SLIT3"	"Slit guidance ligand 1"
SSTR4		"Somatostatin receptor 4"
STX1A	"HPC-1, p35-1, STX1"	"Syntaxin 1A"
TAFA4	"FAM19A4, TAFA-4"	"TAFA chemokine like family member 4"
TCF7L2	"TCF-4, TCF4"	"Transcription factor 7 like 2"
TMEM145	FLJ90805	"Transmembrane protein 145"
TNR		"Tenascin R"
TOGARAM2	"Crescerin-2, FAM179A, FLJ43249, LOC165186"	"TOG array regulator of axonemal microtubules 2"
TPPP	"p25, p25alpha, TPPP/p25, TPPP1"	"Tubulin polymerization promoting protein"
UGT8	CGT	"UDP glycosyltransferase 8"
VSX1	"PPCD, PPCD1, PPD"	"Visual system homeobox 1"
YJEFN3	"FLJ44968, hYjeF_N3-19p13.11"	"YjeF N-terminal domain containing 3"
ZNF354B	"FLJ25008, KID2"	"Zinc finger protein 354B"
AC025287.4		"Novel protein similar to cytoplasmic polyadenylated homeobox like CPHXL"
ACHE	YT	"Acetylcholinesterase (Cartwright blood group)"
ALK	CD246	"ALK receptor tyrosine kinase"
AMZ1	KIAA1950	"Archaelysin family metallopeptidase 1"
BAALC		"BAALC binder of MAP3K1 and KLF4"
BRINP1	"DBC1, DBCCR1, FAM5A"	"BMP/retinoic acid inducible neural specific 1"
C10orf105	FLJ00245	"Chromosome 10 open reading frame 105"
CALN1	CABP8	"Calneuron 1"
CCDC194		"Coiled-coil domain containing 194"
CDH10		"Cadherin 10"
CDH15	"CDH14, CDH3"	"Cadherin 15"
CDH18	"CDH14, EY-CADHERIN"	"Cadherin 18"
CNTN2	"AXT, TAG-1, TAX, TAX1"	"Contactin 2"
CPNE4	"COPN4, CPN4"	"Copine 4"
CRYBA1	CRYB1	"Crystallin beta A1"
CSMD2	KIAA1884	"CUB and Sushi multiple domains 2"
CTNNA3	"MGC26194, VR22"	"Catenin alpha 3"
DNAH17	"DNAHL1, DNEL2, FLJ40457"	"Dynein axonemal heavy chain 17"
DRD3		"Dopamine receptor D3"
GRID2	"GluD2, GluR-delta-2"	"Glutamate ionotropic receptor delta type subunit 2"
H3-4	"H3.4, H3/g, H3FT, H3t, HIST3H3"	"H3.4 histone"
H4C6	"H4, H4/c, H4FC, HIST1H4F"	"H4 clustered histone 6"
HHATL	"C3orf3, GUP1, KIAA1173, MBOAT3, MSTP002, OACT3"	"Hedgehog acyltransferase like"
HMX3	NKX5-1	"H6 family homeobox 3"
HPCAL4	"DKFZp761G122, HLP4"	"Hippocalcin like 4"
HTR1A	"5-HT1A, ADRB2RL1, ADRBRL1"	"5-hydroxytryptamine receptor 1A"
HTR4	5-HT4	"5-hydroxytryptamine receptor 4"
INA	"NEF5, NF-66"	"Internexin neuronal intermediate filament protein alpha"
KCNA2	"HK4, Kv1.2"	"Potassium voltage-gated channel subfamily A member 2"
KCNS1	Kv9.1	"Potassium voltage-gated channel modifier subfamily S member 1"
LHFPL3	LHFPL4	"LHFPL tetraspan subfamily member 3"
LMTK3	"KIAA1883, LMR3, PPP1R101, TYKLM3"	"Lemur tyrosine kinase 3"
MC4R		"Melanocortin 4 receptor"
MOBP		"Myelin associated oligodendrocyte basic protein"
NAT8L	"FLJ37478, Hcml3, Shati"	"N-acetyltransferase 8 like"
NEFL	"CMT1F, CMT2E, NF68, NFL, PPP1R110"	"Neurofilament light"
NEFM	"NEF3, NF-M, NFM"	"Neurofilament medium"
NTN3	NTN2L	"Netrin 3"
NTNG2	"KIAA1857, Lmnt2, NTNG1"	"Netrin G2"
PDE1B	PDES1B	"Phosphodiesterase 1B"
