GENE             CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P        PERMP  NPERM
ENSG00000175206    1   11905766   11908402    141       9  10000     -0.57293      0.71665        0.727   1000
ENSG00000120937    1   11917521   11918988     16       3  10000       1.3423     0.089743        0.093   1000
ENSG00000199347    1   11968209   11968328      3       1  10000        1.957     0.025175        0.022   1000
ENSG00000083444    1   11994810   12035594     92      11  10000      0.37193      0.35497        0.324   1000
ENSG00000116688    1   12040238   12073571     34       5  10000     -0.17612       0.5699        0.503   1000
ENSG00000116691    1   12079523   12092102     42      11  10000      0.14539       0.4422         0.41   1000
ENSG00000048707    1   12290124   12572099      9       4  10000       3.7567   8.6089e-05       0.0003  10000
ENSG00000239149    1   12567300   12567451      4       2  10000      0.59257      0.27673        0.277   1000
ENSG00000229484    1   12587766   12588462      7       3  10000       0.7921      0.21415         0.22   1000
ENSG00000162496    1   12627939   12677737      4       2  10000       2.8462    0.0022126       0.0024   5000
ENSG00000272482    1   12678906   12679250      5       2  10000     -0.19821      0.57856        0.584   1000
ENSG00000162494    1   13801445   13840543    108      18  10000    -0.074089      0.52953        0.512   1000
ENSG00000259961    1   13839715   13842765     21       6  10000       1.0159      0.15483         0.13   1000
ENSG00000162493    1   13909960   13944452     75      19  10000       2.3889    0.0084494        0.017   1000
ENSG00000116731    1   14026735   14151574     37       2  10000     -0.31651      0.62419        0.607   1000
ENSG00000189337    1   14219287   15444539      2       1  10000     -0.30325      0.61915        0.616   1000
ENSG00000231606    1   14548386   14549613      9       2  10000      0.33896      0.36732        0.326   1000
ENSG00000234593    1   14675450   14718071      2       1  10000     -0.59399      0.72374        0.737   1000
ENSG00000235829    1   15018625   15019109      3       2  10000      0.40734      0.34188        0.313   1000
ENSG00000175147    1   15438311   15478960     75       6  10000     -0.41809      0.66206        0.631   1000
ENSG00000171729    1   15479028   15546976     41       6  10000      -1.1802      0.88104        0.928   1000
ENSG00000204464    1   15490840   15497813      1       1  10000     -0.78817       0.7847        0.795   1000
ENSG00000215720    1   15518324   15519341      9       1  10000     -0.14815      0.55889        0.536   1000
ENSG00000142621    1   15573768   15724622     68      16  10000     -0.85927       0.8049        0.824   1000
ENSG00000228140    1   15729475   15735929     19       5  10000       1.3791     0.083939        0.093   1000
ENSG00000142634    1   15736391   15756839     53       5  10000        1.901     0.028654        0.032   1000
ENSG00000162438    1   15764935   15775737      4       1  10000     -0.41358      0.66041        0.673   1000
ENSG00000132906    1   15817327   15851221    398       9  10000     0.042374       0.4831        0.452   1000
ENSG00000116138    1   15853308   15902587      1       1  10000      -1.1292       0.8706        0.871   1000
ENSG00000272510    1   15892106   15892451     42       2  10000      0.22081      0.41262        0.361   1000
ENSG00000116771    1   15898848   15911605    510      13  10000    0.0078232      0.49688        0.463   1000
ENSG00000237301    1   15912631   15930121      1       1  10000      0.40293       0.3435        0.309   1000
ENSG00000235084    1   15931092   15931538      3       1  10000      0.68888      0.24545        0.214   1000
ENSG00000197312    1   15943995   15995539    275       6  10000      0.35905      0.35978        0.334   1000
ENSG00000215695    1   15986364   15988217      3       2  10000      0.17731      0.42963        0.411   1000
ENSG00000116786    1   16010827   16061264    251       5  10000      0.33738      0.36792        0.347   1000
ENSG00000237938    1   16046807   16063391      1       1  10000     0.055174        0.478         0.48   1000
ENSG00000162461    1   16062900   16067891    248       7  10000      0.45306      0.32525        0.299   1000
ENSG00000162458    1   16083154   16113089      1       1  10000      0.56746       0.2852        0.303   1000
ENSG00000224321    1   16119291   16119780      5       1  10000      0.65296      0.25689        0.254   1000
ENSG00000233954    1   16133664   16135843     10       4  10000     -0.92525      0.82258        0.835   1000
ENSG00000178715    1   16154727   16155164    361      21  10000     -0.13677      0.55439        0.538   1000
ENSG00000179743    1   16160969   16174642    325      22  10000      -1.0724      0.85823        0.876   1000
ENSG00000065526    1   16174359   16266955     13       4  10000       1.7645     0.038828        0.034   1000
ENSG00000116809    1   16268364   16302627      1       1  10000     -0.63811       0.7383        0.723   1000
ENSG00000183888    1   16330731   16335302    238      21  10000    -0.059158      0.52359        0.507   1000
ENSG00000233078    1   16332655   16333166     46       3  10000      -1.1951      0.88397        0.963   1000
ENSG00000173641    1   16340523   16346089    240      17  10000     0.021998      0.49122         0.47   1000
ENSG00000186510    1   16348366   16360545    203      15  10000    -0.070079      0.52793        0.529   1000
ENSG00000232456    1   16361673   16366524    369      30  10000     -0.42371      0.66411        0.649   1000
ENSG00000185519    1   16384264   16400121    539      35  10000      -0.2544      0.60041         0.58   1000
ENSG00000142632    1   16524599   16539104    298      13  10000       1.1262      0.13004        0.123   1000
ENSG00000237276    1   16542404   16554522      8       3  10000       1.0998      0.13571        0.122   1000
ENSG00000132881    1   16558195   16563657    253      12  10000       1.0483      0.14726        0.147   1000
ENSG00000037637    1   16573334   16678949    264      11  10000      0.90759      0.18205        0.156   1000
ENSG00000226457    1   16695645   16696025      2       1  10000     -0.22297      0.58822        0.582   1000
ENSG00000157191    1   16767167   16786573     30       3  10000      0.87233      0.19151        0.174   1000
ENSG00000226029    1   16787443   16794976     65       8  10000      0.69632      0.24311        0.195   1000
ENSG00000080947    1   16793931   16825752     40       3  10000      0.59295      0.27661        0.242   1000
ENSG00000206652    1   16840617   16840780      1       1  10000      0.38397       0.3505        0.306   1000
ENSG00000261135    1   16841140   16842249     87       7  10000    -0.069896      0.52786        0.507   1000
ENSG00000233421    1   16860381   16862667     71       9  10000      0.89354      0.18578        0.142   1000
ENSG00000268674    1   16865561   16866070      1       1  10000      0.28689       0.3871        0.392   1000
ENSG00000225710    1   16875146   16879026      7       1  10000     -0.36486      0.64239        0.633   1000
ENSG00000219481    1   16888814   16939982    268      30  10000       2.0792     0.018798        0.021   1000
ENSG00000215908    1   16944748   16983727    437      53  10000       1.6268     0.051891        0.051   1000
ENSG00000186301    1   16972117   16976784     62      12  10000       2.1431     0.016054        0.022   1000
ENSG00000207513    1   16993280   16993443      1       1  10000      0.38397       0.3505        0.306   1000
ENSG00000236698    1   17012116   17012550      3       2  10000      0.73267      0.23188        0.222   1000
ENSG00000268869    1   17013834   17046652     33       6  10000       2.5212    0.0058479        0.012   1000
ENSG00000186715    1   17081405   17096732    332      35  10000       3.1113    0.0009312       0.0048   5000
ENSG00000228549    1   17197440   17200587     87      15  10000        0.863      0.19407        0.164   1000
ENSG00000238142    1   17215033   17216144    344      37  10000        1.424     0.077226        0.078   1000
ENSG00000235241    1   17215590   17216097    133      16  10000      0.78912      0.21502        0.193   1000
ENSG00000272426    1   17230834   17231271     34       4  10000       1.3814     0.083579        0.074   1000
ENSG00000058453    1   17248445   17299474    172      20  10000       3.3166   0.00045567       0.0034   5000
ENSG00000117122    1   17300997   17307330     51       2  10000       2.4635    0.0068789       0.0078   5000
ENSG00000159363    1   17312453   17338423     75       5  10000       2.6666    0.0038314       0.0068   5000
ENSG00000117118    1   17345217   17380665    166       8  10000       2.6658    0.0038407         0.01   1000
ENSG00000117115    1   17393256   17445930     30       4  10000       0.7175      0.23653        0.231   1000
ENSG00000159339    1   17634690   17690499    284      20  10000     0.058579      0.47664        0.425   1000
ENSG00000227751    1   17733256   17733878    188      13  10000      0.41314      0.33975        0.334   1000
ENSG00000179051    1   17733256   17766220     35       3  10000      0.23534      0.40697        0.405   1000
ENSG00000074964    1   17866330   18024364     24       3  10000      0.96264      0.16786        0.155   1000
ENSG00000261781    1   18392151   18400906    130      17  10000       1.3895     0.082333        0.086   1000
ENSG00000117154    1   18434240   18704976     44       7  10000      -1.0071      0.84306         0.87   1000
ENSG00000230035    1   18493423   18505840      1       1  10000       2.5132     0.005982       0.0066   5000
ENSG00000179023    1   18807476   18812620      6       3  10000      -1.8301      0.96638        0.969   1000
ENSG00000009709    1   18957500   19075360     68      18  10000      0.33773      0.36778        0.333   1000
ENSG00000159423    1   19197924   19229275     53       4  10000     -0.58259      0.71991        0.722   1000
ENSG00000169991    1   19230775   19283180      1       1  10000      -1.2454       0.8935        0.902   1000
ENSG00000272084    1   19398604   19402005     42       6  10000    -0.098004      0.53904        0.494   1000
ENSG00000127481    1   19401000   19536770     23       4  10000     -0.27744      0.60928        0.582   1000
ENSG00000230424    1   19536995   19567198      6       3  10000       1.0168      0.15462        0.153   1000
ENSG00000127463    1   19542158   19578046    324      17  10000     -0.50059      0.69167        0.673   1000
ENSG00000053372    1   19578033   19586622    467      32  10000      0.68937       0.2453        0.225   1000
ENSG00000211454    1   19593597   19600688      9       3  10000      0.40914      0.34122        0.318   1000
ENSG00000162482    1   19609052   19615744    124      17  10000      0.40204      0.34383        0.285   1000
ENSG00000270728    1   19623574   19624397      1       1  10000       1.2888      0.09874        0.113   1000
ENSG00000053371    1   19630459   19638640     23       8  10000       0.2217      0.41228        0.381   1000
ENSG00000040487    1   19638820   19655794     17       1  10000    -0.021613      0.50862        0.509   1000
ENSG00000077549    1   19665270   19812007    122       6  10000       1.2721      0.10167        0.099   1000
ENSG00000173436    1   19923471   19956315    100       7  10000       0.2978      0.38293        0.377   1000
ENSG00000270136    1   19923473   19984549      2       1  10000     -0.21374      0.58462        0.562   1000
ENSG00000158747    1   19969726   19984949    216      26  10000      0.41901       0.3376        0.305   1000
ENSG00000158748    1   19991780   20006055     53       5  10000      0.44262      0.32902        0.304   1000
ENSG00000162542    1   20008706   20126410     28       2  10000     -0.93726      0.82569         0.86   1000
ENSG00000169914    1   20209006   20239438    107      12  10000     -0.38112      0.64844        0.625   1000
ENSG00000188257    1   20301925   20306909     12       2  10000     -0.35506      0.63873        0.631   1000
ENSG00000127472    1   20396701   20417661    172      20  10000     0.077672      0.46904         0.46   1000
ENSG00000227066    1   20480831   20487061    102      19  10000      0.30194      0.38135        0.363   1000
ENSG00000187980    1   20487746   20503917     13       4  10000      0.44995      0.32637        0.301   1000
ENSG00000162543    1   20512578   20522541     45       6  10000     -0.25613      0.60108        0.584   1000
ENSG00000158816    1   20617412   20681387      4       1  10000        2.132     0.016503        0.014   1000
ENSG00000236963    1   20687072   20757727      3       2  10000     -0.93109       0.8241        0.829   1000
ENSG00000162545    1   20808884   20812713    111      12  10000       2.1257     0.016763         0.03   1000
ENSG00000090432    1   20825941   20834654    141      21  10000       2.3543    0.0092792        0.017   1000
ENSG00000215520    1   20852482   20853244      6       2  10000     -0.21006      0.58319        0.568   1000
ENSG00000183114    1   20878932   20881503     22       5  10000     -0.27457      0.60818        0.579   1000
ENSG00000158825    1   20915441   20945401    139      14  10000      0.42395       0.3358        0.291   1000
ENSG00000158828    1   20959948   20978004     65      11  10000       1.5297     0.063042        0.053   1000
ENSG00000117242    1   20969150   20978686    176      18  10000      0.67845      0.24874        0.215   1000
ENSG00000244038    1   20978260   20988037     77       5  10000     -0.59066      0.72263        0.715   1000
ENSG00000117245    1   20990507   21044510    355      10  10000       2.5127    0.0059905        0.007   5000
ENSG00000189410    1   21046225   21059133    276      14  10000       2.7513    0.0029681        0.003   5000
ENSG00000127483    1   21069154   21113181     32       2  10000       2.4279    0.0075934       0.0066   5000
ENSG00000075151    1   21132785   21503381      6       2  10000       1.8214     0.034274        0.041   1000
ENSG00000235112    1   21487968   21488574     16       1  10000       2.3404    0.0096306         0.01   1000
ENSG00000117298    1   21543740   21671997     54       8  10000       1.0547      0.14578        0.125   1000
ENSG00000236936    1   21592575   21593744     14       4  10000       1.4277     0.076693         0.06   1000
